address,cuisine,lat,lon,name,opening_hours,phone,website,wheelchair_accessible
"447, Coldharbour Lane, London, SW9 8LP",,51.4614013,-0.11448,Satay Bar,"Mo-Th 12:00-23:00; Fr 12:00-24:00; Sa 00:00-01:00,13:00-24:00; Su 00:00-01:00,13:00-23:00",,https://www.sataybar.co.uk/,unknown
"43, Vauxhall Bridge Road, London, SW1V 2TA",argentinian,51.49107,-0.135199,Moo Cantina Pimlico,,,,unknown
Address not available,,51.4924729,-0.1399743,About Thyme,,,,unknown
"38, Moreton Street, London, SW1V 2PB",indian,51.4889995,-0.136883,Pimlico Tandoori,,,,unknown
"152, Brompton Road",,51.4983961,-0.1664209,Caffè Concerto,,,https://www.caffeconcerto.co.uk/restaurant/knightsbridge.html,unknown
"111-113, Commercial Road, London, E1 1RD",,51.514916,-0.0635587,Dilpasand,,,,unknown
"50, Cheyne Walk",,51.4833465,-0.1694677,No. Fifty Cheyne,,+44 20 7376 8787,https://fiftycheyne.com/,unknown
"55, Queensway, London, W2 4QH",italian,51.511834,-0.1876332,Bella Italia,Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 11:00-22:00,+44 20 7792 2880,https://www.bellaitalia.co.uk/restaurants/london/queensway-55,unknown
"68, Queensway",italian,51.5125046,-0.1874213,garum,,,,unknown
Address not available,pizza,51.5056639,-0.1151021,PizzaExpress,,,https://www.pizzaexpress.com/london-royal-festival-hall,yes
"9, Festival Terrace, London, SE1 8XX",burger,51.5052621,-0.1167109,Honest Burgers,Mo-Tu 12:00-21:00; We-Th 12:00-22:00; Fr-Sa 12:00-22:30; Su 12:00-21:30,+44 20 3146 6379,https://www.honestburgers.co.uk/locations/south-bank/,yes
"Belvedere Road, London, SE1 8XX",french,51.5053303,-0.1169288,Côte Brasserie,Mo-Fr 09:00-24:00; Sa 10:00-24:00; Su 10:00-22:00,+44 20 3846 5606,https://www.cote.co.uk/restaurant/royal-festival-hall,yes
"Royal Festival Hall, London, SE1 8XX",italian,51.5058554,-0.1176662,Strada,Mo-We 08:00-23:00; Th-Sa 08:00-24:00; Su 11:30-22:00,+44 20 7401 9126,https://www.strada.co.uk/italian-restaurant/royal-festival-hall,yes
"Royal Victoria Place, London, E16 1UQ",,51.5054491,0.0261464,So! Restaurant Bar,,,,unknown
Address not available,chinese,51.4961898,-0.0824293,Sanh Hing,,,,unknown
"74-76, Tower Bridge Road, London, SE1 4TP",indian,51.4961463,-0.0825176,Tower Tandoori,,,,unknown
"25, Tabard Street, London, SE1 4LA",,51.5006223,-0.0914796,Simply Indian,,,,unknown
Address not available,thai,51.4995651,-0.2645088,Thai Thai Café,,+44 20 8994 1093,,unknown
"Riverside Level, Royal Festival Hall, London, SE1 8XX",asian,51.5057566,-0.1177658,Wagamama,Mo-Sa 11:00-23:00;Su 11:00-22:00,+44 20 7021 0877,https://wagamama.com/restaurants/london/royal-festival-hall-southbank,yes
Address not available,american,51.4383116,-0.1562741,Bodean's,,,,unknown
"7, St. John Street, London",,51.520045,-0.1018834,Vinoteca Farringdon,,,https://www.vinoteca.co.uk/,unknown
"30, Great Smith Street, London, SW1P 3BU",indian;curry,51.4975224,-0.129607,The Cinnamon Club,,+44 20 7222 2555,http://www.cinnamonclub.com/,no
"127-129, Parkway",,51.5360507,-0.1464791,York & Albany,,,https://www.gordonramsay.com/yorkandalbany,yes
"9A, Delancey Street",japanese,51.5367912,-0.1420045,Yokoya,"Mo-Th 18:00-22:30; Fr, Sa 18:00-00:30; Su 18:00-21:30",+44 20 7388 8595,https://yokoya.co.uk/,unknown
"132, Edgware Road, London, W2 2HX",lebanese,51.5165605,-0.1648246,Al Arez Express,,+44 20 7724 8433,https://www.alarez.co.uk/,unknown
"1, Poultry, London, EC2R 8EJ",,51.513355,-0.0908549,Coq d'Argent,,,,unknown
"15, Old Burlington Street, London, W1S 2JR",italian,51.5112833,-0.1413619,StreetXO,,+44 20 3096 7555,https://streetxo.com/london/,unknown
Address not available,,51.4924822,-0.2780734,Napa,,,,unknown
Address not available,,51.4935053,-0.2675256,Cucina China Buffet,,,,unknown
"2a, Southwark Bridge Road, London, SE1 9HA",greek,51.5080629,-0.0951957,The Real Greek,Mo-Su 12:00-22:30,+44 20 7620 0162,https://www.therealgreek.com/restaurants/bankside/,yes
"24, New Globe Walk, London, SE1 9DS",pizza,51.5081984,-0.096,PizzaExpress,,,https://www.pizzaexpress.com/london-bankside,yes
"4, Great St. Thomas Apostle, London, EC4V 2BH",asian,51.5117911,-0.0931398,Wagamama,Mo-Sa 11:00-22:00,+44 20 7248 5766,,unknown
"1, Byward Street, London, EC3R 5AS",pizza,51.509793,-0.0803017,PizzaExpress,,,https://www.pizzaexpress.com/london-tower-hill,yes
"14, New London Street, London, EC3R 7NA",,51.5112388,-0.0794148,Kirin,,,,unknown
"2, More London Place",,51.5053308,-0.0801739,Tavolino,,,,unknown
"2, More London Riverside, London, SE1 2AP",argentinian,51.5051331,-0.0803967,Gaucho,,+44 20 7407 5222,https://gauchorestaurants.com/restaurants/tower-bridge/,yes
"8th floor, London, SE1 9PH",,51.5083936,-0.108242,Oxo Tower Restaurant,,,,yes
"112, Lisson Grove, London, NW1 6UL",,51.5239089,-0.1670048,Rio's Piri Piri,,,,unknown
"131-133, Baker Street, London, W1U 6SE",pizza,51.5218536,-0.1575888,PizzaExpress,,,https://www.pizzaexpress.com/london-baker-street,limited
"196, Essex Road, London",ramen,51.5405064,-0.0957547,Ippudo,,,,unknown
"72, Upper Street, London, N1 0NY",pizza,51.5361636,-0.1038389,Franco Manca,,,https://www.francomanca.co.uk/restaurants/islington/,unknown
"68, Upper Street, London, N1 0NY",mexican,51.5359926,-0.1039142,Wahaca,,,,unknown
Address not available,,51.5365176,-0.1037374,Sessions,,,,unknown
"119, Upper Street, London, N1 1QP",thai,51.5385359,-0.1025179,Isarn,,+44 20 7424 5153,www.isarn.co.uk,unknown
Address not available,italian,51.539491,-0.1026162,Terra Rossa,,,,unknown
"140a, Upper Street, London, N1 1QY",french,51.5397173,-0.1026393,Le Mercury,,,https://www.lemercury.co.uk/,unknown
"341, Upper Street, London, N1 0PB",burger,51.5351424,-0.1039686,Street Burger,Su-We 11:30-22:00; Tu-Sa 11:30-23:00,+44 20 7592 1355,https://www.gordonramsayrestaurants.com,unknown
"347-349, Upper Street, London, N1 0PD",thai,51.5348703,-0.1041977,Thai Square,"Mo-Th 12:00-15:00,17:30-22:00; Fr 12:00-15:00,17:30-23:00; Sa 12:00-23:00; Su 12:00-22:00",+44 20 7704 2000,https://thaisq.com/restaurants/islington/,unknown
"335, Upper Street",pizza,51.535348,-0.1037375,PizzaExpress,,,https://www.pizzaexpress.com/london-islington,unknown
"9, Islington Green, London, N1 2XH",french,51.5365453,-0.1026836,Bellanger,"Mo-Sa 08:00-00:00, Su 08:00-22:30",,,unknown
Address not available,chicken;portuguese,51.5370798,-0.1029125,Nando's,,,https://www.nandos.co.uk/restaurants/islington,limited
"305-307, Upper Street, London, N1 2TU",italian,51.5379933,-0.1022755,Carluccio's,,,,unknown
"301, Upper Street, London, N1 2TU",chinese,51.5389621,-0.1021021,Hong Kong Restaurant,Mo-Su 12:00-23:00,+44 02045373557,https://www.hkcuisine.co.uk/,unknown
"65, Old Brompton Road",italian,51.492946,-0.1763505,Al Dente,,,,unknown
"53, Old Brompton Road",vietnamese,51.4931045,-0.1760492,Gỗ,,+44 20 7589 6432,https://vietnamfood.co.uk/go-viet/,unknown
"6, Glendower Place",pizza,51.4937726,-0.175681,Papa Roma,,+44 20 7225 2407,https://papparoma.com/,unknown
"3, Glendower Place",indian,51.4935463,-0.1757732,Pravaas,,,,unknown
"56, Old Brompton Road",seafood,51.4931264,-0.1764889,Wright Brothers,,+44 20 7581 0131,https://thewrightbrothers.co.uk/restaurant/south-kensington/,unknown
"60, Old Brompton Road",italian,51.4930693,-0.1766099,Bella Italia,Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 11:00-22:00,+44 20 7584 4028,https://www.bellaitalia.co.uk/restaurants/london/south-kensington,unknown
Address not available,asian,51.5402228,-0.1452722,Wagamama,,,https://wagamama.com/restaurants/london/camden,yes
Address not available,,51.4078361,-0.0251819,La Rascasse,,,,unknown
Address not available,italian,51.406701,-0.0315118,Risto,,+44 20 8663 0881,,unknown
"1-3, Walton Street",italian,51.4959354,-0.1648778,Scalini,,+44 20 7225 2301,https://scalinilondon.co.uk/,unknown
"77 - 81, The Cut, London, SE1 8LL",pizza,51.5025513,-0.108402,Franco Manca,,,https://www.francomanca.co.uk/restaurants/waterloo/,unknown
"59-63, Clapham High Street, London, SW4 7TG",chicken;portuguese,51.4634939,-0.1329449,Nando's,,,https://www.nandos.co.uk/restaurants/clapham-high-street,yes
"Holloway Road, London",,51.5478134,-0.1062903,Buna Restaurant,,,,no
"40, Parkfield Street, London, N1 0PS",asian,51.5343163,-0.1064172,Wagamama,"Mo-Th 11:00-22:00; Fr,Sa 11:00-23:00; Su 11:00-22:00",,https://wagamama.com/restaurants/london/islington,yes
Address not available,,51.5340057,-0.1058677,Jones & Sons,,,,unknown
"8, Eden Park Avenue, Beckenham, BR3 3HN",italian,51.3989089,-0.0405328,Lugana,"Mo 12:00-14:30, 18:00-21:00; Tu-Fr 12:00-14:30, 18:00-22:00; Sa 12:00-22:00; Su 12:00-20:00",+44 20 8650 3959,https://restaurantlugana.co.uk,unknown
"145-147, Croydon Road, Beckenham, BR3 3RB",steak_house,51.3989174,-0.041254,Ember,Tu-Th 12:00-22:30; Fr-Sa 12:00-23:30; Su 12:00-22:00,+44 20 3723 5620,https://www.embersteakhouse.co.uk/,unknown
Address not available,french,51.4897406,-0.1515258,Rousillon,,,,unknown
"33, Boswell Street, London, WC1N 3BP",indian,51.5206484,-0.1212446,Namaste Holborn,Mo-Su 10:00-21:00,+44 20 7242 2434,https://namasteholborn.com,unknown
Address not available,french,51.4963152,-0.26436,Le Vacherin,,,,unknown
"1274, High Road, London, N20 9HH",turkish,51.6305239,-0.1747593,Izgara,Mo-Su 12:00-23:00,+44 20 8445 2196,https://izgararestaurant.com/,unknown
Address not available,,51.520761,-0.1230089,The Shell,Mo-Sa 12:00-23:00; Su 12:00-22:00,,,unknown
Address not available,,51.5205849,-0.1227098,Unnamed Restaurant,,,,unknown
"37, Monck Street, London, SW1P 2BL",chinese,51.4967352,-0.130632,Má Là,"Tu-Fr 12:00-14:30,17:30-22:30; Mo off; Sa 12:00-22:30; Su 16:00-22:00",,,unknown
"Worsley Road, London, E11 3JN",,51.5549347,0.0080113,WF Catering at Jenny Hammond Primary School,,,,unknown
"19, Ganton Street, London, W1F 7BU",italian,51.5129035,-0.1390316,Pastaio,,,https://www.pastaio.london/,unknown
"313-317, King Street, London, W6 9NH",vietnamese,51.4933414,-0.2406865,Saigon Saigon,,,,unknown
Address not available,japanese,51.493575,-0.2430575,Tosa,,,,unknown
"245, Goldhawk Road",,51.4997397,-0.2383387,Fait Maison,,+44 20 8222 8755,https://www.fait-maison.co.uk/,unknown
"1, Gillingham Street, London, SW1V 1HN",sushi,51.4940378,-0.1409348,Morinoya,,,,unknown
"231, Ebury Street, London, SW1W 8UT",french,51.4909877,-0.1525987,La Poule au Pot,,,,unknown
"22, Store Street, London, WC1E 7DF",thai,51.5195455,-0.1325118,Busaba,,,https://www.busaba.com/,no
Address not available,,51.518344,-0.1153178,Bung Hole Cellars,,,,unknown
"34-38, Vauxhall Bridge Road, London, SW1V 2RY",indian,51.4902186,-0.1323749,Milbank Spice,,,,unknown
"1, Bread Street, London, EC4M 9BE",,51.5132553,-0.0947404,Ping Pong,,,,yes
"1, Great St. Thomas Apostle, London, EC4V 2BH",,51.5118712,-0.0937202,Thai Square,,,,unknown
"7-9, Westmoreland Road, London",pie_and_mash,51.4843538,-0.0929878,Arments Pie & Mash,Tu-Fr 10:30-16:00; Sa 10:30-17:00,+44 20 7703 4974,https://armentspieandmash.com/,unknown
Address not available,ethiopian,51.483678,-0.093956,K & F Restaurant,,,,unknown
"140, Tabernacle Street, London, EC2A 4SD",mexican,51.5257393,-0.0840084,Wahaca,"Tu-Sa 12:00-22:00; Su,Mo 12:00-21:00",+44 20 3889 0483,,limited
"52, High Street, London, N14 6EB",,51.6272874,-0.1256466,Cataleya Resto & Lounge,,,,unknown
"18, Theberton Street, London, N1 0QX",french,51.5376283,-0.103591,Le Sacré Coeur,,,https://lesacrecoeurbistro.co.uk/,unknown
"52, Upper Street, London, N1 0PN",,51.5354618,-0.1050339,The Skinny Kitchen,,,,unknown
Address not available,italian,51.5362614,-0.1068254,Vigata,,,,unknown
"4, Theberton Street, London, N1 0QX",turkish,51.5376299,-0.1030744,Kilis,,,https://www.kilis.co.uk/,no
"6, Theberton Street, London, N1 0QX",thai,51.5376312,-0.1031478,Rosa's Thai Cafe,,,,no
"8, Theberton Street, London, N1 0QX",mediterranean,51.5376287,-0.1032571,Mem & Laz,,+44 20 7704 9089,https://www.memlaz.co.uk/,unknown
"102, Upper Street, London, N1 1QP",turkish;mediterranean,51.5376616,-0.1029448,Gallipoli Bistro,Mo-Fr 11:00-23:00; Sa 09:30-00:00; Su 10:00-23:00,+44 20 7359 0630,https://gallipolicafe.co.uk/,no
Address not available,italian,51.5391936,-0.1028456,Antonio's,,,,unknown
Address not available,,51.5412618,-0.103042,Pera,,,,unknown
Address not available,,51.5415596,-0.1031021,VQ,,,,unknown
"177, Upper Street, London, N1 1RG",,51.5416152,-0.1031181,The Blue Legume,,,http://www.thebluelegume.co.uk/,yes
"189, Upper Street, London, N1 1RQ",pizza,51.542405,-0.1032134,Santa Maria,,,https://www.santamariapizzeria.com/,unknown
"265, Upper Street, London, N1 2UQ",kurdish,51.5428465,-0.1028704,Gem,,,https://gemrestaurant.org.uk/,unknown
"17-19, Highbury Corner, London, N5 1RA",italian,51.54651,-0.104055,La Pasta,,,,unknown
"16-18, Highbury Corner, London, N5 1RA",sandwich,51.546677,-0.10382,Trevi,,,,no
Address not available,,51.5441568,0.0494918,Unnamed Restaurant,,,,unknown
Address not available,,51.5450375,0.0492343,Unnamed Restaurant,,,,unknown
"114, Judd Street, London, WC1H 9NT",greek,51.5281039,-0.125102,NONÓS,,,,unknown
"93, Euston Road, London, NW1 2RA",pizza,51.5283992,-0.1273566,PizzaExpress,"Mo,Tu 11:31-23:00, We-Fr 11:30-23:30, Sa,Su 11:30-23:00",,https://www.pizzaexpress.com/london-euston-road,yes
Address not available,,51.5434687,-0.1131598,Loman Cafe Bistro,,,,unknown
Address not available,,51.5693661,-0.1433914,Lauderdale House Restaurant,,,,unknown
Address not available,indian,51.5420814,-0.1174491,Tasty Spice,,,,unknown
Address not available,caribbean,51.5421274,-0.1174507,Best Taste,,,,unknown
"347, Caledonian Road, London, N1 1DW",tandoori,51.5424207,-0.1175004,Didar,,,,unknown
Address not available,ethiopian,51.5466884,-0.115721,Kokeb,,,,unknown
"129A, Queenstown Road, London, SW8 3RH",argentinian,51.4701876,-0.1496829,Santa Maria del Sur,,,,yes
Address not available,,51.5393844,0.0509186,Unnamed Restaurant,,,,unknown
"41, Fitzroy Street, London, W1T 6AQ",indian,51.5227666,-0.1389599,Indian YMCA,"Mo-Fr 07:30-09:15, 12:00-15:00; Sa-Su 07:30-09:15, 12:00-14:00",+44 20 7387 0411,https://www.indianymca.org/our-restaurant/,no
"177, High Street North, London, E6 1JB",,51.5381578,0.0512763,Chennai Dosa,,,,unknown
"57, Pitfield Street, London, N1 6BU",austrian;german,51.5290103,-0.0837544,Schnitzel Heaven,,info@schnitzelheaven.co.uk,https://www.schnitzelheaven.co.uk,unknown
Address not available,pizza,51.5324533,-0.1111751,Basilico,,,,unknown
"106, Islington High Street, London, N1 8EG",Modern european,51.5343313,-0.1042757,Frederick's,,+44 20 7359 2888,https://www.fredericks.co.uk,unknown
"21, Essex Road, London",burger,51.5367673,-0.1014736,The Diner,,+44 20 7226 3272,,yes
Address not available,chinese,51.5539104,-0.1104328,Mega Bite Cafe,,,,unknown
Address not available,japanese,51.5195377,-0.1093681,Mugen,"Mo-Fr 12:00-15:00,18:00-23:00; Sa 17:30-22:00",+44 20 7404 9665,http://www.mugenholdings.com/,unknown
"1, New Fetter Lane, London, EC4A 1AN",pizza,51.5169781,-0.1076198,PizzaExpress,,,,unknown
Address not available,,51.5165567,-0.1110982,The Chancery,,,,unknown
Address not available,japanese,51.5177803,-0.1199798,Samurai,,,,unknown
"50-54, Kingsway, London, WC2B 6EP",japanese,51.516238,-0.1192595,Sushi Hiroba,"Mo-Th 12:00-15:00,18:00-23:00; Fr 12:00-15:00,18:00-23:30; Sa 18:00-23:00; Su, PH 18:00-22:30",,,unknown
"15-17, Broadwick Street, London",Asian Fusion,51.5136681,-0.1351842,Yauatcha,,,,yes
"4, Hayes Lane",,51.5055547,-0.0848633,Vivat Bacchus,,,https://www.vivatbacchus.co.uk/,yes
"276, St. Paul's Road, London, N1 2LH",,51.5463754,-0.1005934,The Resto,,,,unknown
"292-294, St. Paul's Road, London, N1 2LH",seafood,51.5462567,-0.1012753,Prawn on the Lawn,,,https://prawnonthelawn.com/,unknown
"116, Plough Road, London, SW11 2AL",caribbean,51.4626337,-0.1757345,Jam-1,,,,unknown
"35, Willow Place, London, SW1P 1JH",italian,51.49366,-0.1385979,Gustoso,,,,yes
"15, Cardinal Walk, London, SW1E 5JE",italian,51.497441,-0.1407675,Zizzi,,+44 20 7821 0402,https://www.zizzi.co.uk/italian/restaurants/victoria,yes
"17, Cardinal Walk, London, SW1E 5JE",chicken;portuguese,51.4976354,-0.1402214,Nando's,,,https://www.nandos.co.uk/restaurants/victoria-cardinal-place,yes
Address not available,italian,51.5659382,-0.1101431,Osteria Tufo,,,,unknown
"296, Seven Sisters Road, London, N4 2AA",caribbean,51.5649814,-0.1036721,Stoplight,,,,unknown
Address not available,seasonal,51.4792983,-0.1681089,Source,"Mo-Th 12:00-15:00,18:00-22:00;Fr 12:00-15:00,18:00-22:30;Sa 12:00-16:00,18:00-22:30;Su 12:00-16:00",,http://www.sourcebattersea.com,unknown
"46-54, Battersea Bridge Road, London, SW11 3AG",pizza,51.478862,-0.17064,PizzaExpress,,,,yes
"36, Highbury Park, London, N5 2AA",pizza,51.5542179,-0.0979813,Donna Sofia,Su-Sa 12:00-23:00,+44 20 7354 9309,,unknown
"151, Upper Street, London, N1 1RA",,51.5402302,-0.1027841,Fig & Olive,,,,yes
Address not available,swedish,51.540105,-0.1027567,SKÅL,"Tu-Fr 17:00-23:00; Sa 12:00-15:00,17:00-23:00",,https://www.skalnordicdining.co.uk/,unknown
"143, Upper Street, London, N1 1QY",thai,51.5398419,-0.1026516,Rabieng Thai,,,,yes
"21-24, Cockspur Street, London, SW1Y 5BN",thai,51.5074016,-0.1299579,Thai Square,,,,yes
"450, The Strand, London",pizza,51.508406,-0.126123,PizzaExpress,Mo-We 11:30-22:30; Th-Sa 11:30-23:00; Su 11:30-22:00,+44 20 7930 8205,,limited
"91, Holloway Road, London, N7 8LT",georgian,51.5478856,-0.1063884,Tbilisi,Mo-Su 18:00-23:00,,,unknown
"279, Upper Street, London, N1 2TZ",vietnamese,51.5400827,-0.1023191,Nem Nem,,,,unknown
"283, Upper Street, London, N1 2TZ",french,51.5399024,-0.1022794,La Petite Auberge,,,,unknown
"89, Upper Street, London, N1 0NP",,51.5370348,-0.103352,Ottoman Kebab Box,,,,unknown
"101, Upper Street, London, N1 1QN",tapas,51.5376235,-0.1029861,La Farola,Mo-Th 11:00-23:00; Fr 11:00-00:00; Sa 09:00-00:00; Su 09:00-22:30,+44 20 7359 7707,https://lafarolacafe.co.uk/,no
"107, Upper Street, London, N1 1QN",,51.537884,-0.1028048,1251,,,,no
"120, Upper Street, London, N1 1QP",turkish,51.5385698,-0.1025086,Café Gallipoli Again,,+44 20 7359 1578,,unknown
"4a, Upper Street, London, N1 0PN",italian,51.5335893,-0.1060278,Al Dente Pastificio,,,,unknown
Address not available,mexican,51.5359355,-0.1039344,Desperados,,,,unknown
Address not available,vietnamese,51.534842,-0.1049273,Pho,"Mo-Sa 12:00-23:00, Su 12:00-22:00",,,unknown
"19, Leicester Square, London, WC2H 7LE",pizza,51.5108246,-0.1294685,Pizza Hut,Mo-Su 11:00-22:45; Th-Sa 11:00-23:30,+44 20 7930 9114,,limited
